Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
1,Indian Oil Corporation,"3,74,914.69",8.27,"3,55,310.11",2.68,"19,849.49",65.1,"1,91,501.09",12.13,"1,02,096.10",13.47,"8,531.08",,"10,204.02",36.02
2,Reliance Industries,"3,19,935.00",12.76,"3,05,382.00",11.45,"29,901.00",0.52,"4,95,479.00",14.4,"2,62,839.00",13.92,0,,"8,388.00",13.24
3,State Bank of India,"2,98,640.45",9.21,"2,30,447.49",4.45,241.23,-98.03,"32,56,646.62",13.05,"1,81,598.27",1.33,"2,108.56",,"35,691.21",9.73
4,Tata Motors,"2,79,029.14",1.52,"2,69,692.51",-1.23,"7,454.36",-35.62,"1,74,925.64",0.26,"58,061.89",-26.46,0,,"28,332.89",-1.9
5,Rajesh Exports,"2,42,179.13",46.58,"2,42,131.98",46.59,"1,243.63",16.34,"11,802.91",19.37,"5,635.24",28.33,0,,156.9,38.9
6,Bharat Petroleum,"2,10,074.18",11.47,"2,01,250.66",7.15,"9,506.97",17.53,"70,145.34",28.36,"30,819.75",10.89,"4,837.58",,"3,669.08",23.87
7,Hindustan Petroleum,"1,95,558.78",8.72,"1,87,426.25",5.35,"8,235.82",76.18,"54,405.71",12.37,"21,071.43",26.45,0,,"2,969.35",26.93
8,Oil & Natural Gas Corp,"1,36,822.36",3.4,"1,25,784.61",1.38,"20,497.87",59.2,"3,07,074.78",14.5,"2,21,189.48",11.82,0,,"12,146.62",31.6
9,Coal India,"1,26,214.69",12.22,"1,19,460.94",13.68,"9,265.98",-35.05,"76,566.59",-7.09,"24,526.78",-29.59,"12,352.76",,"33,514.29",11.24
10,Tata Consultancy Services,"1,22,187.00",9.36,"1,17,966.00",8.58,"26,289.00",8.32,"88,039.00",20.79,"86,214.00",21.31,"9,162.00",,"61,621.00",11.33
11,Tata Steel,"1,17,481.24",17.03,"1,12,299.42",10.14,"-4,240.80",0,"1,31,954.33",-3.86,"35,544.32",-14.26,0,,"17,252.22",-1.91
12,ICICI Bank,"1,13,397.63",11.84,"60,939.98",2.78,"10,188.38",0.08,"9,25,868.76",6.92,"1,01,566.88",11.25,"1,456.00",,"7,893.26",14.19
13,Larsen & Toubro,"1,10,750.25",7.91,"1,09,311.81",8.1,"5,899.27",37.81,"1,48,646.45",9.33,"50,216.52",13.66,0,,"13,853.07",3.92
14,Hindalco Industries,"1,04,237.65",4.27,"1,00,183.78",0.14,"1,899.74","4,139.54","1,12,544.67",-1.68,"46,058.80",19.9,0,,"8,546.01",3.46
15,Bharti Airtel,"99,662.80",-3.4,"95,468.30",-1.1,"3,799.80",-37.47,"1,86,886.90",5.47,"67,456.30",1.03,654.3,,"4,303.20",-12.37
16,HDFC Bank,"86,148.98",15.83,"73,271.35",16.01,"15,253.03",19.15,"8,33,635.28",15.13,"91,793.95",23.54,"3,392.71",,"8,504.70",34.86
17,Mahindra & Mahindra,"85,863.49",10.51,"83,773.05",10.46,"3,698.04",17.46,"91,794.88",14.02,"25,669.56",-10.27,0,,"8,910.63",15.88
18,NTPC,"83,819.17",12.12,"82,080.82",11.79,"10,719.64",-0.75,"2,18,156.32",10.13,"97,838.02",6.84,"2,152.07",,"5,675.81",20.91
19,Vedanta,"78,034.61",14.11,"72,225.03",12.39,"5,512.21",0,"1,55,584.54",-0.29,"60,424.86",37.21,"7,091.81",,"2,339.34",-10.24
20,Infosys,"71,534.00",9.11,"68,484.00",9.68,"14,353.00",6.41,"69,135.00",11.76,"68,982.00",11.72,"5,915.00",,"37,659.00",9.45
21,Maruti Suzuki India,"70,926.70",19.84,"68,085.00",18.23,"7,511.00",36.63,"38,701.50",22.15,"37,075.10",21.1,0,,"2,360.30",18
22,Essar Oil,"65,887.26",21.65,"60,869.05",15.73,"-1,202.89",0,"46,212.53",-10.16,"19,054.76",165.55,0,,421.7,32.06
23,HDFC,"61,087.63",14.7,"61,034.35",14.68,"11,051.12",8.45,"4,36,968.03",18.66,"60,059.31",18.06,476.13,,913.02,15.84
24,Wipro,"57,854.00",7.02,"55,448.40",8.2,"8,493.10",-4.66,"67,655.80",11.93,"51,670.20",11.97,873.4,,"26,808.10",9.18
25,Axis Bank,"57,596.69",12.13,"45,175.09",9.09,"3,953.03",-52.66,"5,83,879.09",11.06,"56,380.35",5.27,"1,403.99",,"4,742.10",17.98
26,JSW Steel,"57,242.64",41.83,"55,604.59",33.84,"3,523.12",0,"66,374.23",7.2,"22,647.63",19.42,0,,"1,699.59",11.91
